Ticker,Company Name,Date,Price,Open,High,Low,Vol.,Change %
AGX,Argan Inc,2/11/2026,422.5,383,423.79,383,807.90K,13.74%
AGX,Argan Inc,2/12/2026,413.65,424.6,449.9,413.29,1.17M,-2.09%
AGX,Argan Inc,2/13/2026,409.95,405.38,418.4,391.23,325.60K,-0.89%
AGX,Argan Inc,2/17/2026,406.88,406.39,416.52,397.02,301.22K,-0.75%
AGX,Argan Inc,2/18/2026,414.12,408.51,434,408.51,358.54K,1.78%
AGX,Argan Inc,2/19/2026,432.18,414.99,434,408.65,288.69K,4.36%
AGX,Argan Inc,2/20/2026,437.61,429.46,446.74,429.46,290.88K,1.26%
AGX,Argan Inc,2/23/2026,441.71,434.4,442.65,420.68,351.40K,0.94%
AGX,Argan Inc,2/24/2026,447.6,432.88,450,417.87,440.00K,1.33%
AGX,Argan Inc,2/25/2026,442.34,454.74,459.75,440.68,220.68K,-1.18%
AGX,Argan Inc,2/26/2026,452.53,445,453.26,425,360.42K,2.30%
AGX,Argan Inc,2/27/2026,451.25,448,459,436.71,284.80K,-0.28%
AGX,Argan Inc,3/2/2026,445.36,436,451.25,432.55,349.93K,-1.31%
AGX,Argan Inc,3/3/2026,438.93,427,445.36,411.99,362.33K,-1.44%
AGX,Argan Inc,3/4/2026,463.36,450.2,469.88,441.86,505.93K,5.57%
AGX,Argan Inc,3/5/2026,430.25,455.8,456.41,416,430.22K,-7.15%
AGX,Argan Inc,3/6/2026,414.2,415.75,432.04,405,279.42K,-3.73%
AGX,Argan Inc,3/9/2026,466.38,414.58,467.47,411.96,778.87K,12.60%
AGX,Argan Inc,3/10/2026,458.71,467,478.26,456.96,671.95K,-1.64%
AGX,Argan Inc,3/11/2026,472.86,455.74,484.13,451.55,335.32K,3.08%
AGX,Argan Inc,3/12/2026,459.3,461.25,471.01,453,465.03K,-2.87%
AGX,Argan Inc,3/13/2026,458.31,462.62,476,448.33,302.53K,-0.22%
ASTS,AST SpaceMobile Inc,2/18/2025,30.9,32.895,33.55,30.67,12.72M,-3.74%
ASTS,AST SpaceMobile Inc,2/19/2025,31.17,31.06,33.18,30.72,12.15M,0.87%
ASTS,AST SpaceMobile Inc,2/20/2025,31.63,30.915,32.11,28.87,10.79M,1.48%
ASTS,AST SpaceMobile Inc,2/21/2025,28.64,31.505,31.84,28.59,9.85M,-9.45%
ASTS,AST SpaceMobile Inc,2/24/2025,28.57,28.39,29.14,26.1,14.65M,-0.24%
ASTS,AST SpaceMobile Inc,2/25/2025,26.17,27.7,28.17,25.722,13.08M,-8.40%
ASTS,AST SpaceMobile Inc,2/26/2025,27.24,28.565,30.99,27,16.79M,4.09%
ASTS,AST SpaceMobile Inc,2/27/2025,26.08,28.06,29.152,25.93,12.10M,-4.26%
ASTS,AST SpaceMobile Inc,2/28/2025,27.11,25.47,27.56,25.01,9.55M,3.95%
ASTS,AST SpaceMobile Inc,3/3/2025,25.62,29.08,29.1,24.89,15.09M,-5.50%
ASTS,AST SpaceMobile Inc,3/4/2025,28.61,24.52,30.7,24.48,24.47M,11.67%
ASTS,AST SpaceMobile Inc,3/5/2025,33.8,30.12,34.1,28.95,27.62M,18.14%
ASTS,AST SpaceMobile Inc,3/6/2025,32.18,32.64,35.49,30.82,21.83M,-4.79%
ASTS,AST SpaceMobile Inc,3/7/2025,33.4,31.4,34.06,29.55,17.17M,3.79%
ASTS,AST SpaceMobile Inc,3/10/2025,29.14,32.11,32.8,28.34,15.38M,-12.75%
ASTS,AST SpaceMobile Inc,3/11/2025,28.66,28.96,29.93,27.3,11.10M,-1.65%
ASTS,AST SpaceMobile Inc,3/12/2025,27.56,29.99,30.8,27.02,11.72M,-3.84%
ASTS,AST SpaceMobile Inc,3/13/2025,26.12,27.522,27.84,25.86,8.50M,-5.22%
ASTS,AST SpaceMobile Inc,3/14/2025,28.15,26.55,28.25,25.7,8.40M,7.77%
ASTS,AST SpaceMobile Inc,3/17/2025,28.02,27.74,28.72,27.16,7.56M,-0.46%
ASTS,AST SpaceMobile Inc,3/18/2025,26.25,27.76,27.78,26.2,7.05M,-6.32%
ASTS,AST SpaceMobile Inc,3/19/2025,25.65,26.445,26.51,24.62,11.48M,-2.29%
ASTS,AST SpaceMobile Inc,3/20/2025,24.69,25.56,25.784,24.092,6.74M,-3.74%
ASTS,AST SpaceMobile Inc,3/21/2025,25.71,24.22,25.99,24.03,6.79M,4.13%
ASTS,AST SpaceMobile Inc,3/24/2025,29.3,26.62,29.45,26.5,10.85M,13.96%
ASTS,AST SpaceMobile Inc,3/25/2025,28.55,28.92,29.59,28.39,5.20M,-2.56%
ASTS,AST SpaceMobile Inc,3/26/2025,27.29,28.58,29.2,27.27,5.78M,-4.41%
ASTS,AST SpaceMobile Inc,3/27/2025,25.8,27,27.51,25.76,5.66M,-5.46%
ASTS,AST SpaceMobile Inc,3/28/2025,24.06,25.67,25.8,23.46,9.87M,-6.74%
ASTS,AST SpaceMobile Inc,3/31/2025,22.74,22.83,23.4,22.22,8.76M,-5.49%
ASTS,AST SpaceMobile Inc,4/1/2025,21.85,22.77,22.908,21.63,8.86M,-3.91%
ASTS,AST SpaceMobile Inc,4/2/2025,22.41,21.37,23.22,21.31,9.22M,2.56%
ASTS,AST SpaceMobile Inc,4/3/2025,21.58,20.08,22.32,20.01,10.50M,-3.70%
ASTS,AST SpaceMobile Inc,4/4/2025,20.07,20.6,21.152,18.5,13.32M,-7.00%
ASTS,AST SpaceMobile Inc,4/7/2025,21.33,18.5,22.86,18.22,13.43M,6.28%
ASTS,AST SpaceMobile Inc,4/8/2025,20.3,22.765,22.8,19.745,10.05M,-4.83%
ASTS,AST SpaceMobile Inc,4/9/2025,24.14,20.24,24.89,19.67,18.02M,18.92%
